Player,Squad,PSxG,PSxG/SoT,PSxG+/-,Launch%,Crosses_Opp,Crosses_stp%,#OPA,Season,Competition
etrit berisha,Empoli,20.7,0.24,-3.3,34.8,236.0,4.7,10.0,2023-2024,serie-a
elia caprile,Empoli,27.6,0.22,0.6,40.3,391.0,7.9,20.0,2023-2024,serie-a
marco carnesecchi,Atalanta,29.3,0.22,-0.7,30.6,332.0,6.0,39.0,2023-2024,serie-a
michele cerofolini,Frosinone,5.9,0.22,-4.1,47.4,126.0,3.2,7.0,2023-2024,serie-a
oliver christensen,Fiorentina,4.0,0.11,-5.0,31.8,32.0,3.1,9.0,2023-2024,serie-a
andrea consigli,Sassuolo,51.7,0.28,-13.3,42.3,545.0,4.2,22.0,2023-2024,serie-a
nikita contini baranovsky,Napoli,0.0,,0.0,0.0,1.0,0.0,3.0,2023-2024,serie-a
benoit costil,Salernitana,23.6,0.32,-4.4,48.0,212.0,0.9,19.0,2023-2024,serie-a
alessio cragno,Sassuolo,5.1,0.3,-0.9,50.0,37.0,8.1,8.0,2023-2024,serie-a
raffaele di gennaro,Inter,0.5,0.13,0.5,13.3,4.0,0.0,0.0,2023-2024,serie-a
michele di gregorio,Monza,45.4,0.26,10.4,27.8,469.0,4.1,18.0,2023-2024,serie-a
wladimiro falcone,Lecce,51.0,0.26,-2.0,42.6,522.0,3.8,20.0,2023-2024,serie-a
vincenzo fiorillo,Salernitana,7.3,0.28,-0.7,68.1,77.0,5.2,1.0,2023-2024,serie-a
luca gemello,Torino,3.6,0.31,-1.4,26.9,24.0,12.5,3.0,2023-2024,serie-a
pierluigi gollini,Napoli,8.2,0.34,0.2,22.1,82.0,6.1,9.0,2023-2024,serie-a
nicola leali,Genoa,2.8,0.31,0.8,69.4,27.0,7.4,1.0,2023-2024,serie-a
mike maignan,Milan,29.8,0.19,-4.2,21.1,339.0,10.9,36.0,2023-2024,serie-a
christos mandas,Lazio,7.0,0.25,1.0,42.5,99.0,6.1,5.0,2023-2024,serie-a
tommaso martinelli,Fiorentina,1.4,0.45,-0.6,30.0,14.0,0.0,0.0,2023-2024,serie-a
josep martinez,Genoa,38.9,0.28,-3.1,37.4,580.0,7.8,40.0,2023-2024,serie-a
alex meret,Napoli,38.0,0.33,-2.0,18.5,334.0,2.7,29.0,2023-2024,serie-a
vanja milinkovicsavic,Torino,33.8,0.21,2.8,44.8,407.0,9.3,37.0,2023-2024,serie-a
antonio mirante,Milan,3.1,0.41,0.1,26.1,17.0,5.9,1.0,2023-2024,serie-a
lorenzo montipo,Hellas Verona,40.7,0.26,-7.3,54.5,487.0,4.5,43.0,2023-2024,serie-a
juan musso,Atalanta,9.8,0.23,-1.2,24.4,110.0,9.1,16.0,2023-2024,serie-a
lapo nava,Milan,0.9,0.5,-0.1,100.0,0.0,,0.0,2023-2024,serie-a
guillermo ochoa,Salernitana,37.2,0.27,-5.8,46.3,342.0,2.6,11.0,2023-2024,serie-a
maduka okoye,Udinese,23.9,0.24,-0.1,55.9,365.0,1.9,2.0,2023-2024,serie-a
rui patricio,Roma,23.4,0.29,-1.6,31.5,309.0,5.2,8.0,2023-2024,serie-a
simone perilli,Hellas Verona,2.7,0.29,0.7,75.0,5.0,0.0,2.0,2023-2024,serie-a
mattia perin,Juventus,1.2,0.25,0.2,25.9,29.0,6.9,3.0,2023-2024,serie-a
samuele perisan,Empoli,0.7,0.14,-1.3,27.3,18.0,0.0,1.0,2023-2024,serie-a
carlo pinsoglio,Juventus,0.5,0.18,0.5,23.8,17.0,0.0,0.0,2023-2024,serie-a
ivan provedel,Lazio,30.0,0.23,-3.0,22.6,377.0,4.0,18.0,2023-2024,serie-a
boris radunovic,Cagliari,10.1,0.38,-0.9,35.9,98.0,6.1,4.0,2023-2024,serie-a
federico ravaglia,Bologna,5.5,0.25,2.5,18.0,73.0,1.4,4.0,2023-2024,serie-a
francesco rossi,Atalanta,0.8,0.75,0.8,0.0,2.0,0.0,0.0,2023-2024,serie-a
simone scuffet,Cagliari,45.1,0.33,-7.9,43.3,482.0,4.6,20.0,2023-2024,serie-a
marco silvestri,Udinese,25.7,0.29,-2.3,33.6,282.0,1.8,7.0,2023-2024,serie-a
ukasz skorupski,Bologna,26.6,0.23,-1.4,26.3,432.0,2.8,15.0,2023-2024,serie-a
daniele sommariva,Genoa,0.0,,0.0,100.0,2.0,50.0,0.0,2023-2024,serie-a
yann sommer,Inter,25.5,0.23,6.5,17.4,395.0,4.6,14.0,2023-2024,serie-a
alessandro sorrentino,Monza,14.4,0.34,-1.6,26.5,62.0,4.8,3.0,2023-2024,serie-a
marco sportiello,Milan,8.9,0.25,-1.1,20.4,81.0,6.2,9.0,2023-2024,serie-a
mile svilar,Roma,20.2,0.24,2.2,15.9,208.0,7.7,7.0,2023-2024,serie-a
wojciech szczesny,Juventus,28.3,0.24,0.3,32.0,555.0,4.7,20.0,2023-2024,serie-a
pietro terracciano,Fiorentina,40.2,0.27,5.2,29.0,307.0,2.3,23.0,2023-2024,serie-a
stefano turati,Frosinone,47.5,0.28,-9.5,27.3,412.0,4.4,19.0,2023-2024,serie-a
emil audero,Como,12.4,0.27,-5.6,22.0,95.0,5.3,8.0,2024-2025,serie-a
jean butez,Como,20.1,0.27,0.1,30.2,190.0,11.6,51.0,2024-2025,serie-a
elia caprile,Napoli,2.2,0.27,1.2,25.6,31.0,9.7,3.0,2024-2025,serie-a
elia caprile,Cagliari,23.5,0.35,1.5,44.1,266.0,6.8,23.0,2024-2025,serie-a
marco carnesecchi,Atalanta,36.1,0.28,4.1,28.2,319.0,6.6,45.0,2024-2025,serie-a
leandro chichizola,Parma,2.5,0.43,-0.5,31.7,21.0,9.5,2.0,2024-2025,serie-a
giuseppe ciocci,Cagliari,0.0,,0.0,0.0,0.0,,1.0,2024-2025,serie-a
michele di gregorio,Juventus,28.1,0.24,-3.9,30.0,469.0,6.2,30.0,2024-2025,serie-a
wladimiro falcone,Lecce,53.8,0.26,-1.2,51.9,590.0,4.9,19.0,2024-2025,serie-a
david de gea,Fiorentina,37.7,0.26,0.7,40.1,478.0,2.7,28.0,2024-2025,serie-a
pierluigi gollini,Genoa,12.2,0.29,-2.8,24.7,92.0,2.2,2.0,2024-2025,serie-a
jesse joronen,Venezia,12.6,0.26,-0.4,28.1,125.0,4.8,5.0,2024-2025,serie-a
nicola leali,Genoa,34.3,0.29,6.3,39.3,390.0,5.4,14.0,2024-2025,serie-a
mike maignan,Milan,36.8,0.26,-1.2,17.4,447.0,5.8,68.0,2024-2025,serie-a
christos mandas,Lazio,7.9,0.29,0.9,36.4,130.0,15.4,22.0,2024-2025,serie-a
josep martinez,Inter,4.1,0.31,1.1,20.4,81.0,3.7,3.0,2024-2025,serie-a
andrea mazza,Monza,0.0,,0.0,20.0,1.0,0.0,0.0,2024-2025,serie-a
alex meret,Napoli,25.3,0.27,2.3,15.4,378.0,5.6,47.0,2024-2025,serie-a
vanja milinkovicsavic,Torino,51.4,0.27,11.4,40.0,585.0,6.3,46.0,2024-2025,serie-a
lorenzo montipo,Hellas Verona,50.8,0.31,-12.2,59.9,498.0,6.0,23.0,2024-2025,serie-a
juan musso,Atalanta,0.7,0.19,0.7,36.8,15.0,0.0,1.0,2024-2025,serie-a
maduka okoye,Udinese,37.0,0.32,0.0,29.9,315.0,4.4,23.0,2024-2025,serie-a
daniele padelli,Udinese,0.8,0.26,0.8,33.3,11.0,9.1,0.0,2024-2025,serie-a
alberto paleari,Torino,2.2,0.32,-0.8,34.6,12.0,0.0,5.0,2024-2025,serie-a
rui patricio,Atalanta,4.2,0.34,1.2,18.1,29.0,0.0,10.0,2024-2025,serie-a
simone perilli,Hellas Verona,3.0,0.3,1.0,82.4,46.0,4.3,3.0,2024-2025,serie-a
mattia perin,Juventus,3.7,0.23,0.7,22.4,50.0,6.0,3.0,2024-2025,serie-a
semuel pizzignacco,Monza,12.4,0.33,-3.6,33.7,119.0,3.4,7.0,2024-2025,serie-a
ivan provedel,Lazio,31.5,0.32,-8.5,30.8,366.0,7.9,32.0,2024-2025,serie-a
ionut radu,Venezia,19.2,0.26,1.2,47.7,215.0,6.0,3.0,2024-2025,serie-a
federico ravaglia,Bologna,11.7,0.46,-2.3,27.5,97.0,11.3,9.0,2024-2025,serie-a
pepe reina,Como,12.1,0.28,-1.9,32.4,148.0,1.4,6.0,2024-2025,serie-a
razvan sava,Udinese,14.5,0.24,0.5,33.2,202.0,2.0,13.0,2024-2025,serie-a
simone scuffet,Napoli,1.6,0.4,0.6,25.7,29.0,3.4,0.0,2024-2025,serie-a
simone scuffet,Cagliari,20.4,0.28,-2.6,42.0,189.0,3.2,7.0,2024-2025,serie-a
jacopo seghetti,Empoli,1.9,0.31,-1.1,37.5,4.0,0.0,1.0,2024-2025,serie-a
alen sherri,Cagliari,10.9,0.35,-0.1,35.7,85.0,4.7,5.0,2024-2025,serie-a
benjamin siegrist,Genoa,2.4,0.2,0.4,33.3,26.0,3.8,1.0,2024-2025,serie-a
marco silvestri,Empoli,8.0,0.32,-2.0,60.7,62.0,1.6,4.0,2024-2025,serie-a
ukasz skorupski,Bologna,28.7,0.34,-2.3,27.9,215.0,8.4,23.0,2024-2025,serie-a
daniele sommariva,Genoa,0.9,0.3,-0.1,66.7,19.0,0.0,0.0,2024-2025,serie-a
yann sommer,Inter,31.7,0.24,0.7,16.9,356.0,3.9,14.0,2024-2025,serie-a
marco sportiello,Milan,2.2,0.36,0.2,21.7,15.0,6.7,3.0,2024-2025,serie-a
filip stankovic,Venezia,25.2,0.26,3.2,29.4,249.0,4.8,13.0,2024-2025,serie-a
zion suzuki,Parma,51.4,0.32,0.4,41.4,614.0,10.4,38.0,2024-2025,serie-a
mile svilar,Roma,42.5,0.26,8.5,23.8,495.0,6.1,33.0,2024-2025,serie-a
pietro terracciano,Fiorentina,3.1,0.24,0.1,28.2,20.0,5.0,3.0,2024-2025,serie-a
stefano turati,Monza,47.4,0.31,-2.6,38.3,414.0,5.3,26.0,2024-2025,serie-a
devis vasquez,Empoli,40.2,0.31,-4.8,48.5,490.0,7.3,15.0,2024-2025,serie-a
